2/91/336|JohnDiGriz|https://raw.githubusercontent.com/JohnDiGriz/my-kaizen-gifs/refs/heads/master/Kaizen%20-%20A%20Factory%20Story%20-%20Spring%20Dress%20(2%2C%20%C2%A591M%2C%20336).gif|TC
2/97/320|Théophile|https://i.imgur.com/pgYNpH9.gif|
2/100/272|Théophile|https://i.imgur.com/JxBq1QX.gif|TA
11/89/153|Théophile||
18/77/162|penzo|https://i.imgur.com/3xCvbx2.gif|
40/41/323|Théophile||
41/60/126|XP||AT
43/32/289|ButtermilkDoughnut|https://imgur.com/a/Zxfc8QU|
49/31/272|XP||CT
50/52/126|XP||AC
62/31/255|XP||CA
