3/137/1260|Nighthawk||TC
3/147/1216|Théophile||
3/150/1140|Théophile||
3/158/1020|Théophile||TA
8/130/1400|Théophile||
8/133/1288|Théophile|https://i.imgur.com/YsTbChz.gif|
11/123/1400|Théophile||
13/119/1400|Théophile||
14/111/1400|Théophile||
20/97/1288|Théophile|https://i.imgur.com/HF6tja8.gif|
20/222/600|Théophile|https://i.imgur.com/rjmhhpr.gif|AT
21/97/1176|Théophile|https://i.imgur.com/etCfMwm.gif|
21/213/600|Théophile|https://i.imgur.com/CcU9XFo.gif|
23/207/600|Théophile|https://i.imgur.com/uOv335H.gif|
27/195/600|Théophile|https://i.imgur.com/nLLAbP9.gif|
29/74/1020|XP||
35/189/600|Théophile|https://i.imgur.com/U6RIbjF.gif|AC
37/73/1054|XP||
56/72/1054|XP||CT,CA
