2/82/242|Chewy|https://imgur.com/a/vKAeOjP|TC,TA
4/50/209|wl||
4/59/187|JohnDiGriz|https://raw.githubusercontent.com/JohnDiGriz/my-kaizen-gifs/refs/heads/master/Rice%20Cooker/4%2C%2059%2C%20187/Kaizen%20-%20A%20Factory%20Story%20-%20Rice%20Cooker%20(4%2C%20%C2%A559M%2C%20187).gif|
4/60/165|JohnDiGriz|https://raw.githubusercontent.com/JohnDiGriz/my-kaizen-gifs/refs/heads/master/Rice%20Cooker/4%2C%2060%2C%20165/Kaizen%20-%20A%20Factory%20Story%20-%20Rice%20Cooker%20(4%2C%20%C2%A560M%2C%20165).gif|
5/53/192|XeniVari||
6/79/154|JohnDiGriz|https://raw.githubusercontent.com/JohnDiGriz/my-kaizen-gifs/refs/heads/master/Rice%20Cooker/6%2C%2079%2C%20154/Kaizen%20-%20A%20Factory%20Story%20-%20Rice%20Cooker%20(6%2C%20%C2%A579M%2C%20154).gif|
9/70/120|penzo|https://i.imgur.com/h4sFfmh.gif|
16/29/182|Grimmy||
16/75/117|Grimmy||
18/29/168|Grimmy||
19/29/165|Grimmy||
20/58/117|Grimmy||
20/86/99|Théophile|https://i.imgur.com/BU7rCmo.gif|AT
24/49/110|Théophile||
25/66/99|Théophile||
29/65/99|Théophile||
30/64/99|Théophile|https://i.imgur.com/NPofKvS.gif|AC
35/28/221|Théophile|https://i.imgur.com/UrXcjBK.gif|CT,CA
35/40/110|Théophile||
38/38/110|Théophile||
55/37/110|Théophile||
58/42/108|Théophile|https://i.imgur.com/DV4EvoQ.gif|
